Company Name,Type of Company,Year of Establishment,Registration Number,GST Number,PAN Number,Head Office District,Contact Number,Official Email,Website,Branch Office Locations,Owner / MD Name,Key Decision Maker,Total Employees,Organizational Structure,Board of Directors,Nature of Business,Core Specialization,Service Areas,Years of Experience,Avg Projects Per Year,Avg Annual Turnover (Rs.),Net Worth (Rs.),Financial Stability,Financial Commitments,Total Engineers,Total Technical Staff,Major Machinery,Equipment Capacity,Total Projects Completed,Blacklisting History,Legal Disputes,ISO Certification,Safety Compliance,Environmental Compliance,Labour Law Compliance
Square Infra Solutions 1,Ltd,2018,I40H4KEA04,AYPAQ8L5RD712C9,52ES94OMGH,Chengalpattu,9636072270,squareinfrasolutions1@example.com,www.squareinfra1.com,Ramanathapuram,Owner 1,MD 1,379,Hierarchical,"Director A1, Director B1",Construction & Infrastructure,Roads & Buildings,Tamil Nadu,4,15,114592564,161472592,At Risk,6437246,69,103,"Excavators, Cranes, Concrete Mixers",High,44,Yes,Yes,ISO 45001,High,Partial,Partial
Square Infra Solutions 2,Proprietorship,2001,8RU35LEMF7,LPS88TBFHYEAOT1,GIH84YG1MD,Mayiladuthurai,9370960040,squareinfrasolutions2@example.com,www.squareinfra2.com,Perambalur,Owner 2,MD 2,254,Hierarchical,"Director A2, Director B2",Construction & Infrastructure,Roads & Buildings,Tamil Nadu,3,17,448899462,183664589,Moderate,38667304,24,51,"Excavators, Cranes, Concrete Mixers",High,166,Yes,No,ISO 9001,Medium,Partial,Partial
Square Infra Solutions 3,Ltd,2003,U2FKZ4NHTA,K1XNEXVU39QRFKU,1QSMLMNFH6,Kanniyakumari,9594345028,squareinfrasolutions3@example.com,www.squareinfra3.com,Tirupathur,Owner 3,MD 3,58,Hierarchical,"Director A3, Director B3",Construction & Infrastructure,Roads & Buildings,Tamil Nadu,27,7,91951829,296710962,Moderate,35612073,30,17,"Excavators, Cranes, Concrete Mixers",Medium,108,No,Yes,Not Certified,Low,Partial,Non-Compliant
Square Infra Solutions 4,Ltd,2016,GDZDRIFAD8,6M4PW0MOH3SDZU5,N0O7PE7S5H,Vellore,9927922170,squareinfrasolutions4@example.com,www.squareinfra4.com,Tiruvallur,Owner 4,MD 4,424,Hierarchical,"Director A4, Director B4",Construction & Infrastructure,Roads & Buildings,Tamil Nadu,30,9,135389471,174233141,Stable,31185716,66,15,"Excavators, Cranes, Concrete Mixers",Medium,298,No,No,Multiple,Low,Compliant,Compliant
Square Infra Solutions 5,Partnership,2001,2NT1BTDN8M,VLGIWCMV6QVZGVG,XHZOZLIBUU,Tenkasi,9641880039,squareinfrasolutions5@example.com,www.squareinfra5.com,Virudhunagar,Owner 5,MD 5,68,Hierarchical,"Director A5, Director B5",Construction & Infrastructure,Roads & Buildings,Tamil Nadu,14,18,110663860,169413262,At Risk,15565670,7,181,"Excavators, Cranes, Concrete Mixers",Low,120,No,No,ISO 45001,Medium,Compliant,Compliant
Square Infra Solutions 6,Proprietorship,2015,7PQNY3E586,WBN9Z0P80ZO7ZSE,YVDK5OC3QE,Madurai,9290646247,squareinfrasolutions6@example.com,www.squareinfra6.com,Kallakurichi,Owner 6,MD 6,241,Hierarchical,"Director A6, Director B6",Construction & Infrastructure,Roads & Buildings,Tamil Nadu,13,2,128746978,162821358,At Risk,43443533,70,83,"Excavators, Cranes, Concrete Mixers",Low,25,Yes,No,ISO 45001,Low,Partial,Compliant
Square Infra Solutions 7,Proprietorship,2021,5CFX83SLF4,RVP7WLCDSCUZ3DF,RYAON9GA5Y,Ramanathapuram,9286828271,squareinfrasolutions7@example.com,www.squareinfra7.com,Pudukkottai,Owner 7,MD 7,355,Hierarchical,"Director A7, Director B7",Construction & Infrastructure,Roads & Buildings,Tamil Nadu,18,4,153054974,2132913,Moderate,38658296,76,75,"Excavators, Cranes, Concrete Mixers",Low,203,No,No,Not Certified,High,Compliant,Partial
Square Infra Solutions 8,Proprietorship,2007,5I38RWQKGU,OFCXQHHW1SSMOFL,8L9L6Z3OZ5,Kancheepuram,9726333883,squareinfrasolutions8@example.com,www.squareinfra8.com,Vellore,Owner 8,MD 8,26,Hierarchical,"Director A8, Director B8",Construction & Infrastructure,Roads & Buildings,Tamil Nadu,22,17,94956116,183270753,Moderate,30988933,94,105,"Excavators, Cranes, Concrete Mixers",High,86,No,Yes,Multiple,Medium,Compliant,Partial
Square Infra Solutions 9,Pvt Ltd,2001,4LB8QXEFUV,KKSYZ4JGCF5Z3MZ,2LHXOFG5ZR,Viluppuram,9836506703,squareinfrasolutions9@example.com,www.squareinfra9.com,Erode,Owner 9,MD 9,462,Hierarchical,"Director A9, Director B9",Construction & Infrastructure,Roads & Buildings,Tamil Nadu,23,2,210906001,29452880,At Risk,26491164,26,84,"Excavators, Cranes, Concrete Mixers",Medium,56,No,No,ISO 9001,Low,Partial,Compliant
Square Infra Solutions 10,Ltd,2008,58SAB6EQAU,7SLU39QMRT4CMDS,WMM10GA8MQ,Thoothukudi,9481061737,squareinfrasolutions10@example.com,www.squareinfra10.com,Salem,Owner 10,MD 10,279,Hierarchical,"Director A10, Director B10",Construction & Infrastructure,Roads & Buildings,Tamil Nadu,16,4,286169087,223663242,Moderate,23136119,53,90,"Excavators, Cranes, Concrete Mixers",High,92,Yes,No,ISO 9001,Low,Partial,Compliant
Square Infra Solutions 11,Pvt Ltd,2011,G3NECYFIG4,FN8PARJFP4W74TF,GI9DMZPOGW,Sivaganga,9590251892,squareinfrasolutions11@example.com,www.squareinfra11.com,Sivaganga,Owner 11,MD 11,300,Hierarchical,"Director A11, Director B11",Construction & Infrastructure,Roads & Buildings,Tamil Nadu,22,8,38722761,5733347,Moderate,43775557,65,188,"Excavators, Cranes, Concrete Mixers",Low,130,Yes,Yes,ISO 9001,High,Non-Compliant,Compliant
Square Infra Solutions 12,Partnership,2004,DJ860MJIJY,IRJGD2NOO3R2KLT,TCIQURUN5I,Thoothukudi,9239468881,squareinfrasolutions12@example.com,www.squareinfra12.com,Mayiladuthurai,Owner 12,MD 12,252,Hierarchical,"Director A12, Director B12",Construction & Infrastructure,Roads & Buildings,Tamil Nadu,17,22,461690730,261357300,Stable,7569766,13,164,"Excavators, Cranes, Concrete Mixers",Medium,266,Yes,No,Multiple,Medium,Compliant,Non-Compliant
Square Infra Solutions 13,Proprietorship,2005,K692QVBOON,RFCTV4HDQH5ZFOS,HMB9K5ABO2,Dharmapuri,9064286179,squareinfrasolutions13@example.com,www.squareinfra13.com,Kanniyakumari,Owner 13,MD 13,384,Hierarchical,"Director A13, Director B13",Construction & Infrastructure,Roads & Buildings,Tamil Nadu,6,15,433639550,223174547,At Risk,48182494,57,19,"Excavators, Cranes, Concrete Mixers",Medium,111,No,Yes,ISO 9001,Low,Non-Compliant,Non-Compliant
Square Infra Solutions 14,Pvt Ltd,1999,JISQMAY62A,WWJNNVSH97UV1BP,JXWOKPFTSS,Karur,9116596613,squareinfrasolutions14@example.com,www.squareinfra14.com,Nagapattinam,Owner 14,MD 14,48,Hierarchical,"Director A14, Director B14",Construction & Infrastructure,Roads & Buildings,Tamil Nadu,20,13,420006518,81021834,Moderate,49907210,99,14,"Excavators, Cranes, Concrete Mixers",Medium,212,No,No,ISO 14001,Low,Compliant,Compliant
